ID,movie_title,class,year,runtime,rating,meta
tt1872181,The Amazing Spider-Man 2,PG-13,2014.0,142.0,6.6,53.0
tt0317740,The Italian Job,PG-13,2003.0,111.0,7.0,68.0
tt0086006,Never Say Never Again,PG,1983.0,134.0,6.2,68.0
tt2719848,Everest,PG-13,2015.0,121.0,7.1,64.0
tt1515091,Sherlock Holmes: A Game of Shadows,PG-13,2011.0,129.0,7.5,48.0
tt0088011,Romancing the Stone,PG,1984.0,106.0,6.9,63.0
tt0800080,The Incredible Hulk,PG-13,2008.0,112.0,6.7,61.0
tt0187393,The Patriot,R,2000.0,165.0,7.2,63.0
tt0346491,Alexander,R,2004.0,175.0,5.6,39.0
tt1340138,Terminator Genisys,PG-13,2015.0,126.0,6.3,38.0
tt0112462,Batman Forever,PG-13,1995.0,121.0,5.4,51.0
tt0936501,Taken,PG-13,2008.0,90.0,7.8,51.0
tt0465494,Hitman,R,2007.0,100.0,6.3,35.0
tt1308728,The Happytime Murders,R,2018.0,91.0,5.4,27.0
tt1365519,Tomb Raider,PG-13,2018.0,119.0,6.3,48.0
tt0090264,A View to a Kill,PG,1985.0,131.0,6.4,40.0
tt0311429,The League of Extraordinary Gentlemen,PG-13,2003.0,110.0,5.8,30.0
tt1615160,The Foreigner,R,2017.0,113.0,7.0,55.0
tt3014866,Criminal,R,2016.0,113.0,6.3,36.0
tt1179933,10 Cloverfield Lane,PG-13,2016.0,103.0,7.2,76.0
tt1430132,The Wolverine,PG-13,2013.0,126.0,6.7,61.0
tt0090728,Big Trouble in Little China,PG-13,1986.0,99.0,7.3,53.0
tt0181689,Minority Report,PG-13,2002.0,145.0,7.6,80.0
tt1617661,Jupiter Ascending,PG-13,2015.0,127.0,5.3,40.0
tt6491178,Dragged Across Concrete,R,2018.0,159.0,6.9,60.0
tt0106697,Demolition Man,R,1993.0,115.0,6.7,34.0
